Watching for file changes with StatReloader
Performing system checks...

System check identified no issues (0 silenced).
July 13, 2021 - 23:32:34
Django version 3.2.5, using settings 'djangoProject1.settings'
Starting development server at http://0.0.0.0:8000/
Quit the server with CONTROL-C.
[13/Jul/2021 23:32:35] "GET / HTTP/1.1" 200 10697
[13/Jul/2021 23:32:38] "GET / HTTP/1.1" 200 10697
[13/Jul/2021 23:32:39] "GET / HTTP/1.1" 200 10697
[13/Jul/2021 23:32:43] "GET /admin/quiz/question/ HTTP/1.1" 200 15139
[13/Jul/2021 23:32:43] "GET /admin/jsi18n/ HTTP/1.1" 200 3195
[13/Jul/2021 23:32:43] "GET / HTTP/1.1" 200 10697
[13/Jul/2021 23:32:48] "GET /admin/quiz/question/ HTTP/1.1" 200 15139
[13/Jul/2021 23:32:48] "GET /admin/jsi18n/ HTTP/1.1" 200 3195
[13/Jul/2021 23:32:50] "GET /admin/quiz/question/ HTTP/1.1" 200 15139
[13/Jul/2021 23:32:50] "GET /admin/jsi18n/ HTTP/1.1" 200 3195
[13/Jul/2021 23:32:52] "GET / HTTP/1.1" 200 10697
[13/Jul/2021 23:33:21] "GET / HTTP/1.1" 200 10697
[13/Jul/2021 23:33:21] "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
[13/Jul/2021 23:33:21] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
[13/Jul/2021 23:33:21] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
[13/Jul/2021 23:33:21] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
Not Found: /favicon.ico
[13/Jul/2021 23:33:21] "GET /favicon.ico HTTP/1.1" 404 2120
[13/Jul/2021 23:33:23] "GET /admin/ HTTP/1.1" 200 7928
[13/Jul/2021 23:33:37] "GET /admin/quiz/question/ HTTP/1.1" 200 15139
[13/Jul/2021 23:33:37] "GET /admin/jsi18n/ HTTP/1.1" 200 3195
[13/Jul/2021 23:33:40] "GET /admin/quiz/question/ HTTP/1.1" 200 15139
[13/Jul/2021 23:33:40] "GET /admin/jsi18n/ HTTP/1.1" 200 3195
[13/Jul/2021 23:33:50] "GET /admin/quiz/question/ HTTP/1.1" 200 15139
[13/Jul/2021 23:33:50] "GET /admin/jsi18n/ HTTP/1.1" 200 3195
[13/Jul/2021 23:33:58] "GET /admin/ HTTP/1.1" 200 4408
[13/Jul/2021 23:33:58] "GET /static/admin/css/base.css HTTP/1.1" 304 0
[13/Jul/2021 23:33:58] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
[13/Jul/2021 23:33:58] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
[13/Jul/2021 23:33:58] "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
[13/Jul/2021 23:33:58] "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
[13/Jul/2021 23:33:58] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
[13/Jul/2021 23:33:58] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
